answer_uri,display_label,reference_search_scope,original_candidate_count,forced_pool_size,top_limit,rescue_limit,actual_pool_candidate_count,evidence_rescue_count,reference_policy,pool_policy_reached,reference_distractor_ranks,pool_distractor_ranks,reference_rationale_facts,pool_rationale_facts,same_distractor_selection,same_rationale,same_policy,global_optimality_claim,pool_optimality_claim
http://dbpedia.org/resource/Adam_Smith,Adam Smith,FULL_EXACT,18,25,19,6,18,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,True,True,True,False,True
http://dbpedia.org/resource/Adam_Smith,Adam Smith,FULL_EXACT,18,50,38,12,18,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,True,True,True,False,True
http://dbpedia.org/resource/Adam_Smith,Adam Smith,FULL_EXACT,18,75,57,18,18,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,True,True,True,False,True
http://dbpedia.org/resource/Adam_Smith,Adam Smith,FULL_EXACT,18,100,75,25,18,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/James_Watt,True,True,True,False,True
http://dbpedia.org/resource/Aristotle,Aristotle,FULL_EXACT,27,25,19,6,25,6,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,True,True,True,False,True
http://dbpedia.org/resource/Aristotle,Aristotle,FULL_EXACT,27,50,38,12,27,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,True,True,True,False,True
http://dbpedia.org/resource/Aristotle,Aristotle,FULL_EXACT,27,75,57,18,27,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,True,True,True,False,True
http://dbpedia.org/resource/Aristotle,Aristotle,FULL_EXACT,27,100,75,25,27,0,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,http://dbpedia.org/property/influences IN -> http://dbpedia.org/resource/Ptolemy,True,True,True,False,True
http://dbpedia.org/resource/Carbon,Carbon,FULL_EXACT,49,25,19,6,25,6,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,True,True,True,False,True
http://dbpedia.org/resource/Carbon,Carbon,FULL_EXACT,49,50,38,12,49,11,main-l1,main-l1,1|2|3,1|2|3,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,http://dbpedia.org/property/formula IN -> http://dbpedia.org/resource/Diamond,True,True,True,False,True
